,MASTER FILE NUMBER,INVESTIGATING AGENCY,LOCAL CODE,COLLISION STATUS CODE,COUNTY NAME,ROADWAY NUMBER,BLOCK/HOUSE #,ROADWAY NAME,ROADWAY SUFFIX,ROADWAY DIRECTION CODE,GPS LATITUDE DECIMAL,GPS LONGITUDE DECIMAL,MILEPOINT DERIVED,COLLISION DATE,COLLISION TIME,INTERSECTION ROADWAY #,INTERSECTION ROADWAY NAME,INTERSECTION ROADWAY SFX,BETWEEN STREET ROADWAY # 1,BETWEEN STREET ROADWAY NAME 1,BETWEEN STREET ROADWAY SFX 1,BETWEEN STREET ROADWAY # 2,BETWEEN STREET ROADWAY NAME 2,BETWEEN STREET ROADWAY SFX 2,UNITS INVOLVED,MOTOR VEHICLES INVOLVED,KILLED,INJURED,WEATHER CODE,WEATHER,ROADWAY CONDITION CODE,ROADWAY CONDITION,HIT & RUN INDICATOR,ROADWAY TYPE CODE,ROADWAY TYPE,DIRECTIONAL ANALYSIS CODE,DIRECTIONAL ANALYSIS,MANNER OF COLLISION CODE,MANNER OF COLLISION,ROADWAY CHARACTER CODE,ROADWAY CHARACTER,LIGHT CONDITION CODE,LIGHT CONDITION,RAMP FROM ROADWAY ID,RAMP TO ROADWAY ID,SECONDARY COLLISION INDICATOR,hour,minute,Date,Latitude,Longitude,geometry,index_right
107758,71328154,LOUISVILLE METRO POLICE DEPT,8013052971,AC,56,,,ORMSBY,AVE  ,W ,38.2354416,-85.7875784,1.698,7/17/2013,1348,,DIXIE,HWY  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,48,2013-07-17 13:48:00,38.2354416,-85.7875784,POINT (-85.7875784 38.2354416),0
107930,71329482,LOUISVILLE METRO POLICE DEPT,8013053520,AC,56,,,PLYMOUTH,CT   ,,38.2505308,-85.7780017,0.182,7/19/2013,0750,,16TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,07,50,2013-07-19 07:50:00,38.2505308,-85.7780017,POINT (-85.7780017 38.2505308),0
107956,71329612,LOUISVILLE METRO POLICE DEPT,8013053680,AC,56,US0031W ,,DIXIE,HWY  ,,38.221301,-85.7931997,2.002,7/19/2013,00007,,BERNHEIM,LN   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,00,00,2013-07-19 00:00:00,38.221301,-85.7931997,POINT (-85.7931997 38.221301),0
108045,71329667,LOUISVILLE METRO POLICE DEPT,8013053953,AC,56,,,WINTER LAKE,DR   ,,38.0738117,-85.8770715,0.004,7/20/2013,00000,,AUTUMN LAKE,DR   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,00,00,2013-07-20 00:00:00,38.0738117,-85.8770715,POINT (-85.8770715 38.0738117),0
108163,71330232,LOUISVILLE METRO POLICE DEPT,8013054354,AC,56,KY1931  ,,MANSLICK,RD   ,,38.1916727,-85.8008524,8.106,7/22/2013,1126,,MARCH,BLVD ,,,,,,,2,1,0,1,3.0,CLOUDY,5.0,WET,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,11,26,2013-07-22 11:26:00,38.1916727,-85.8008524,POINT (-85.8008524 38.1916727),0
108181,71330262,LOUISVILLE METRO POLICE DEPT,8013054510,AC,56,KY2050  ,,HERR,LN   ,,38.2839071,-85.6279589,2.182,7/22/2013,1500,,BROWNSBORO,RD   ,,,,,,,2,1,0,1,6.0,RAINING,5.0,WET,Y,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,00,2013-07-22 15:00:00,38.2839071,-85.6279589,POINT (-85.6279589 38.2839071),0
108217,71331561,SHIVELY POLICE DEPARTMENT,0413001445,AC,56,KY2049  ,,CRUMS,LN   ,,38.1950944,-85.8263605,0.656,7/22/2013,1853,,,,,BURRELL,DR   ,,CHEVIOT,DR   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,53,2013-07-22 18:53:00,38.1950944,-85.8263605,POINT (-85.82636050000001 38.1950944),0
108227,71333356,LOUISVILLE METRO POLICE DEPT,8013054496,AC,56,,,6TH,ST   ,S ,38.2557443,-85.7600531,0.086,7/22/2013,1752,US0031W ,MARKET,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,52,2013-07-22 17:52:00,38.2557443,-85.7600531,POINT (-85.76005309999999 38.2557443),0
108289,71333289,GRAYMOOR-DEVONDALE POLICE DEPT,5013000156,AC,56,,,WHIPPS MILL,RD   ,,38.2676376,-85.5788703,1.918,7/23/2013,1418,KY0146  ,NEW LA GRANGE,RD   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,18,2013-07-23 14:18:00,38.2676376,-85.5788703,POINT (-85.57887030000001 38.2676376),0
108450,71331619,ST. MATTHEWS POLICE DEPARTMENT,0313001706,AC,56,KY1932  ,,CHENOWETH,LN   ,,38.256279,-85.6581435,5.808,7/26/2013,1018,,MASSIE,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,18,2013-07-26 10:18:00,38.256279,-85.6581435,POINT (-85.65814349999999 38.256279),0
108499,71332389,LOUISVILLE METRO POLICE DEPT,8013055655,AC,56,,2216.0,OAK,ST   ,W ,38.2375173,-85.7911656,1.965,7/26/2013,1435,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,35,2013-07-26 14:35:00,38.2375173,-85.7911656,POINT (-85.7911656 38.2375173),0
108654,71332516,LOUISVILLE METRO POLICE DEPT,8013056344,AC,56,KY0864  ,,POPLAR LEVEL,RD   ,,38.1672632,-85.6817528,8.881,7/29/2013,0910,,RANGELAND,RD   ,,,,,,,2,1,0,1,2.0,CLEAR,2.0,ICE,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,09,10,2013-07-29 09:10:00,38.1672632,-85.6817528,POINT (-85.6817528 38.1672632),0
108734,71336985,LOUISVILLE METRO POLICE DEPT,8013056601,AC,56,,,CHESTNUT,ST   ,W ,38.2510025,-85.7760053,1.368,7/29/2013,2100,,15TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,21,00,2013-07-29 21:00:00,38.2510025,-85.7760053,POINT (-85.77600529999999 38.2510025),0
108965,71335565,LOUISVILLE METRO POLICE DEPT,8013057468,AC,56,US0031E ,,MARKET,ST   ,W ,38.254962,-85.7534921,17.787,8/1/2013,2330,US0031W ,2ND,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,30,2013-08-01 23:30:00,38.254962,-85.7534921,POINT (-85.7534921 38.254962),0
108969,71335562,LOUISVILLE METRO POLICE DEPT,8013057400,AC,56,,,LIBERTY,ST   ,W ,38.2534142,-85.7636332,0.251,8/1/2013,1904,,8TH,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,19,04,2013-08-01 19:04:00,38.2534142,-85.7636332,POINT (-85.7636332 38.2534142),0
109183,71335050,LOUISVILLE METRO POLICE DEPT,8013058196,AC,56,,,CROSS CREEK,BLVD ,,38.1527622,-85.6263709,0.144,8/4/2013,1643,,DOWNS BRANCH,RD   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,16,43,2013-08-04 16:43:00,38.1527622,-85.6263709,POINT (-85.6263709 38.1527622),0
109252,71335894,JEFFERSONTOWN POLICE DEPT,A0831463  ,AC,56,KY0155  ,9120.0,TAYLORSVILLE,RD   ,,38.2142151,-85.5894205,11.266,8/5/2013,1745,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,45,2013-08-05 17:45:00,38.2142151,-85.5894205,POINT (-85.5894205 38.2142151),0
109288,71341865,LOUISVILLE METRO POLICE DEPT,8013058538,AC,56,,,11TH,ST   ,S ,38.253134,-85.7689598,0.332,8/5/2013,00000,,FISK,CT   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,00,00,2013-08-05 00:00:00,38.253134,-85.7689598,POINT (-85.7689598 38.253134),0
109319,71335958,LOUISVILLE METRO POLICE DEPT,8013058623,AC,56,,,RIVER,RD   ,,38.3221946,-85.6439688,4.202,8/6/2013,0838,,,,,HARBORTOWN,RD   ,,AVISH,LN   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,08,38,2013-08-06 08:38:00,38.3221946,-85.6439688,POINT (-85.6439688 38.3221946),0
109322,71335967,LOUISVILLE METRO POLICE DEPT,8013058691,AC,56,,8020.0,CANDLEGLOW,LN   ,,38.1349349,-85.7837331,0.276,8/6/2013,1339,,,,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,39,2013-08-06 13:39:00,38.1349349,-85.7837331,POINT (-85.78373310000001 38.1349349),0
109522,71340878,LOUISVILLE METRO POLICE DEPT,8013059250,AC,56,US0060  ,,FRANKFORT,AVE  ,,38.2546636,-85.6876746,1.778,8/8/2013,0855,,,,,CRESCENT,AVE  ,,KENNEDY,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,08,55,2013-08-08 08:55:00,38.2546636,-85.6876746,POINT (-85.68767459999999 38.2546636),0
109711,71338183,LOUISVILLE METRO POLICE DEPT,8013060112,AC,56,,1500.0,ANDERSON,ST   ,,38.2473224,-85.7788944,0.486,8/10/2013,2100,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,21,00,2013-08-10 21:00:00,38.2473224,-85.7788944,POINT (-85.7788944 38.2473224),0
110038,71339495,LOUISVILLE METRO POLICE DEPT,8013061263,AC,56,,,HILL,ST   ,W ,38.2299466,-85.796902,2.208,8/14/2013,2043,,25TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,20,43,2013-08-14 20:43:00,38.2299466,-85.796902,POINT (-85.796902 38.2299466),0
110108,71339914,LOUISVILLE METRO POLICE DEPT,8013061451,AC,56,,,CHESTNUT,ST   ,W ,38.2485814,-85.7545663,2.546,8/15/2013,1410,KY1020  ,2ND,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,10,2013-08-15 14:10:00,38.2485814,-85.7545663,POINT (-85.75456629999999 38.2485814),0
110333,71341033,LOUISVILLE METRO POLICE DEPT,8013062309,AC,56,,,WIZARD,AVE  ,,38.1990788,-85.7773646,0.192,8/18/2013,1650,,LONGFIELD,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,Y,16,50,2013-08-18 16:50:00,38.1990788,-85.7773646,POINT (-85.7773646 38.1990788),0
110458,1926844,LOUISVILLE METRO POLICE DEPT,8013062812,AC,56,,,32ND,ST   ,,38.239833333,-85.720233333,,8/20/2013,1130,,KENTUCKY,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,11,30,2013-08-20 11:30:00,38.239833333,-85.720233333,POINT (-85.720233333 38.239833333),0
110489,71342301,LOUISVILLE METRO POLICE DEPT,8013062881,AC,56,US0060  ,,FRANKFORT,AVE  ,,38.2529558,-85.6567969,3.475,8/20/2013,1517,,,,US0060A ,LEXINGTON,RD   ,,WILMINGTON,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,17,2013-08-20 15:17:00,38.2529558,-85.6567969,POINT (-85.6567969 38.2529558),0
110644,71342713,LOUISVILLE METRO POLICE DEPT,8013063408,AC,56,,,24TH,ST   ,N ,38.2700799,-85.7872057,0.678,8/22/2013,1003,KY3064  ,PORTLAND,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,5.0,STRAIGHT & HILLCREST,2.0,DAYLIGHT,,,N,10,03,2013-08-22 10:03:00,38.2700799,-85.7872057,POINT (-85.7872057 38.2700799),0
110737,71343441,LOUISVILLE METRO POLICE DEPT,8013063755,AC,56,,,HIKES,LN   ,,38.1998218,-85.6587991,0.949,8/23/2013,1210,,,,,GREEN MEADOWS,DR   ,KY2251,BARDSTOWN,RD   ,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,12,10,2013-08-23 12:10:00,38.1998218,-85.6587991,POINT (-85.6587991 38.1998218),0
110846,71343225,ST. MATTHEWS POLICE DEPARTMENT,0313002023,AC,56,,1000.0,SIR LANCELOT,LN   ,,38.2660393,-85.6119352,0.004,8/24/2013,0910,,,,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,09,10,2013-08-24 09:10:00,38.2660393,-85.6119352,POINT (-85.6119352 38.2660393),0
111001,71343979,JEFFERSONTOWN POLICE DEPT,A0832591  ,AC,56,,,LINN STATION,RD   ,,38.2243561,-85.5674172,1.805,8/26/2013,1904,,,,,LAKE SHORE,CT   ,,CLEAR SPRINGS,TRCE ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,19,04,2013-08-26 19:04:00,38.2243561,-85.5674172,POINT (-85.56741719999999 38.2243561),0
111044,71344085,LOUISVILLE METRO POLICE DEPT,8013064667,AC,56,,700.0,DOUGLAS,PARK ,,38.1774677,-85.7601291,0.194,8/26/2013,1702,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,17,02,2013-08-26 17:02:00,38.1774677,-85.7601291,POINT (-85.7601291 38.1774677),0
111121,71344529,LOUISVILLE METRO POLICE DEPT,8013064813,AC,56,,,BRADLEY,AVE  ,,38.2182154,-85.7515618,0.0,8/27/2013,0750,KY0061  ,BRANDEIS,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,07,50,2013-08-27 07:50:00,38.2182154,-85.7515618,POINT (-85.7515618 38.2182154),0
111165,1936972,LOUISVILLE METRO POLICE DEPT,8013065272,AC,56,,,22ND,ST   ,,38.201666667,-85.536666667,,8/28/2013,1541,,,,,DUNCAN,ST   ,,COLUMBIA,ST   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,15,41,2013-08-28 15:41:00,38.201666667,-85.536666667,POINT (-85.53666666700001 38.201666667),0
111190,71344968,LOUISVILLE METRO POLICE DEPT,8013065257,AC,56,,,JEFFERSON,ST   ,W ,38.254748,-85.7653324,0.73,8/28/2013,1532,,,,,ROY WILKINS,AVE  ,,10TH,ST   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,32,2013-08-28 15:32:00,38.254748,-85.7653324,POINT (-85.76533240000001 38.254748),0
111208,71344952,LOUISVILLE METRO POLICE DEPT,8013065150,AC,56,I 0065  ,,,,,38.1917752,-85.7276918,0.504,8/28/2013,0904,KY0061  ,PRESTON,HWY  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,4.0,INTERSTATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,09,04,2013-08-28 09:04:00,38.1917752,-85.7276918,POINT (-85.7276918 38.1917752),0
111219,71344976,LOUISVILLE METRO POLICE DEPT,8013065300,AC,56,,,3RD,ST   ,N ,38.2567357,-85.7548179,0.021,8/28/2013,1648,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,16,48,2013-08-28 16:48:00,38.2567357,-85.7548179,POINT (-85.75481790000001 38.2567357),0
111245,238792,LOUISVILLE METRO POLICE DEPT,8013065634,AC,56,,,6TH,ST   ,,38.2462,-85.761733333,,8/29/2013,1753,,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,17,53,2013-08-29 17:53:00,38.2462,-85.761733333,POINT (-85.761733333 38.2462),0
111351,71345564,SHIVELY POLICE DEPARTMENT,0413001754,AC,56,,,LOMOND,DR   ,,38.1941226,-85.8212822,0.051,8/30/2013,0005,,,,KY2049  ,CRUMS,LN   ,,BUTLER,RD   ,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,7.0,DARK (UNKNOWN ROADWAY LIGHTING),,,N,00,05,2013-08-30 00:05:00,38.1941226,-85.8212822,POINT (-85.8212822 38.1941226),0
111371,71346502,LOUISVILLE METRO POLICE DEPT,8013065815,AC,56,,,CHATEAU,LN   ,,38.1475521,-85.6932448,0.074,8/30/2013,0650,,,,,CULVER,LN   ,KY0061,PRESTON,HWY  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,N,06,50,2013-08-30 06:50:00,38.1475521,-85.6932448,POINT (-85.6932448 38.1475521),0
111455,71347423,SHIVELY POLICE DEPARTMENT,0413001762,AC,56,US0031W ,,DIXIE,HWY  ,,38.1998798,-85.8028486,15.953,8/30/2013,1754,,,,,MARY CATHERINE,DR   ,,THERESA,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,54,2013-08-30 17:54:00,38.1998798,-85.8028486,POINT (-85.8028486 38.1998798),0
111488,71346598,LOUISVILLE METRO POLICE DEPT,8013066206,AC,56,US0150  ,,DR W J HODGE,ST   ,,38.2582933,-85.7850379,0.845,8/31/2013,1730,US0150T ,MARKET,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,30,2013-08-31 17:30:00,38.2582933,-85.7850379,POINT (-85.78503790000001 38.2582933),0
111615,71346246,PROSPECT POLICE DEPARTMENT,4513000164,AC,56,,,WINDHAM,PKWY ,,38.3557108,-85.6206391,0.544,9/2/2013,1134,,EDMONSON,PL   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,11,34,2013-09-02 11:34:00,38.3557108,-85.6206391,POINT (-85.62063910000001 38.3557108),0
111773,71358808,LOUISVILLE METRO POLICE DEPT,8013066849,AC,56,US0150  ,,BROADWAY,,W ,38.2468624,-85.766787,1.936,9/3/2013,1054,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,54,2013-09-03 10:54:00,38.2468624,-85.766787,POINT (-85.76678699999999 38.2468624),0
111939,1934730,LOUISVILLE METRO POLICE DEPT,8013068021,AC,56,,,BROADWAY,,,38.201666667,-85.536666667,,9/6/2013,2252,,4TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,,22,52,2013-09-06 22:52:00,38.201666667,-85.536666667,POINT (-85.53666666700001 38.201666667),0
112116,71354995,LOUISVILLE METRO POLICE DEPT,8013068557,RE,56,,,7TH,ST   ,S ,38.2464473,-85.7633675,2.022,9/7/2013,1044,US0150  ,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,44,2013-09-07 10:44:00,38.2464473,-85.7633675,POINT (-85.7633675 38.2464473),0
112119,71362546,LOUISVILLE METRO POLICE DEPT,8013068235,AC,56,US0060A ,,LEXINGTON,RD   ,,38.2486403,-85.6760856,9.471,9/7/2013,1954,,BRIAR HILL,RD   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,19,54,2013-09-07 19:54:00,38.2486403,-85.6760856,POINT (-85.67608559999999 38.2486403),0
112131,71349014,LOUISVILLE METRO POLICE DEPT,8013068308,AC,56,,,4TH,ST   ,S ,38.2460816,-85.7583782,0.734,9/8/2013,0625,US0150  ,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,06,25,2013-09-08 06:25:00,38.2460816,-85.7583782,POINT (-85.7583782 38.2460816),0
112134,71349023,LOUISVILLE METRO POLICE DEPT,8013068371,AC,56,,,32ND,ST   ,S ,38.2552115,-85.8051243,1.9,9/8/2013,1410,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,10,2013-09-08 14:10:00,38.2552115,-85.8051243,POINT (-85.8051243 38.2552115),0
112193,71349606,LOUISVILLE METRO POLICE DEPT,8013068527,AC,56,,,WOODBOURNE,AVE  ,,38.2282454,-85.6831478,0.703,9/9/2013,0909,,CAROLINA,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,09,09,2013-09-09 09:09:00,38.2282454,-85.6831478,POINT (-85.6831478 38.2282454),0
